Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,2,Clothing Store,Coffee Shop,Fast Food Restaurant,Food Court,Bakery,Japanese Restaurant,Women's Store,Toy / Game Store,Lingerie Store,Boutique
North York,Willowdale South,43.7701199,-79.40849279999998,1,Coffee Shop,Sushi Restaurant,Ramen Restaurant,Restaurant,Sandwich Place,Pizza Place,Café,Bubble Tea Shop,Plaza,Electronics Store
East York,Leaside,43.7090604,-79.3634517,1,Coffee Shop,Sporting Goods Shop,Sandwich Place,Burger Joint,Furniture / Home Store,Gym,Clothing Store,Bike Shop,Electronics Store,Sports Bar
East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188,4,Greek Restaurant,Coffee Shop,Ice Cream Shop,Italian Restaurant,Furniture / Home Store,Restaurant,Yoga Studio,Pizza Place,Brewery,Bubble Tea Shop
East Toronto,Studio District,43.6595255,-79.340923,1,Café,Coffee Shop,Bakery,American Restaurant,Gastropub,Italian Restaurant,Convenience Store,Seafood Restaurant,Sandwich Place,Cheese Shop
Central Toronto,Davisville,43.7043244,-79.3887901,0,Sandwich Place,Dessert Shop,Pizza Place,Gym,Café,Italian Restaurant,Sushi Restaurant,Coffee Shop,Seafood Restaurant,Farmers Market
Downtown Toronto,"Cabbagetown, St. James Town",43.667967,-79.3676753,0,Coffee Shop,Restaurant,Italian Restaurant,Café,Pizza Place,Bakery,Market,Pub,Snack Place,Japanese Restaurant
Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000002,1,Coffee Shop,Japanese Restaurant,Gay Bar,Sushi Restaurant,Restaurant,Pub,Men's Store,Mediterranean Restaurant,Smoke Shop,Hotel
Downtown Toronto,Harbourfront,43.6542599,-79.3606359,1,Coffee Shop,Park,Pub,Bakery,Mexican Restaurant,Café,Breakfast Spot,Spa,Ice Cream Shop,French Restaurant
Downtown Toronto,"Ryerson, Garden District",43.6571618,-79.37893709999999,1,Coffee Shop,Clothing Store,Cosmetics Shop,Café,Middle Eastern Restaurant,Burger Joint,Diner,Bakery,Bookstore,Pizza Place
